epoch,train_loss,train_ppl,val_loss,val_ppl,train_time,val_time
1,7.209986221955356,1352.8736272926105,6.49280402024634,660.3724673094703,39.59,1.56
2,6.458958571671241,638.3958667153343,6.045896465378282,422.37623348202527,39.82,1.62
3,6.089128066681018,441.0366888603443,5.752749701440952,315.0557796619262,39.67,1.62
4,5.824639508426547,338.5390705957667,5.6092136910272865,272.92954665749664,39.8,1.48
5,5.636710138421786,280.5382665852386,5.509952850827243,247.1394743711461,40.12,1.72
6,5.496358886677699,243.8026012698,5.443366156417472,231.21919493273748,40.53,1.6
7,5.385670306698686,218.25635378189634,5.396031945299982,220.52960420322825,39.73,1.61
8,5.29499046213881,199.3357247210313,5.369128955543023,214.67579408096077,39.71,1.6
9,5.220732043568798,185.06961351486223,5.3331981697319595,207.0992547168712,40.54,1.73
10,5.161978539005797,174.50938789241812,5.322151765628622,204.82414170327056,40.08,1.6
11,5.116043844958473,166.67467272635002,5.3077861110498725,201.90274297773783,39.98,1.46
12,5.08295535159072,161.24990259129711,5.298551931717086,200.046918536322,39.06,1.48
13,5.059769339839499,157.5541706614876,5.295533194066364,199.44393994641206,39.37,1.6
14,5.0459092717795455,155.38552265407796,5.293793650060125,199.0973000212111,39.57,1.57
15,5.038735577850704,154.2748231459637,5.291891374895649,198.71892217555737,39.81,1.72
