epoch,train_loss,train_ppl,val_loss,val_ppl,train_time,val_time
1,7.166818576649951,1295.7158180218296,6.424497138116797,616.7705891284047,34.71,1.27
2,6.4022618490607694,603.2078611750131,5.98694456777265,398.19608815917957,34.85,1.26
3,6.045672895759045,422.2818135434394,5.7351439560119415,309.55753021934595,35.02,1.25
4,5.801098665474029,330.6626480518888,5.5860708557878525,266.6857118235398,35.03,1.29
5,5.61745921293125,275.18929681933264,5.490964241654395,242.49091400485926,34.81,1.27
6,5.477094983265007,239.15095974404625,5.424475668731898,226.89234836808936,34.67,1.22
7,5.364940462491473,213.77850646238932,5.376911370914411,216.3530082039983,34.71,1.17
8,5.272456550351132,194.8941421419843,5.335914198482273,207.66250680503296,35.27,1.37
9,5.197552036060619,180.8290366603485,5.3149300674321065,203.35029182349822,35.3,1.33
10,5.136564650833616,170.13030625802068,5.294945963531882,199.3268547563222,35.31,1.18
11,5.090354285037711,162.44740454451065,5.283272872206797,197.01362173427677,35.44,1.32
12,5.05590126752699,156.94591687942838,5.278507360942126,196.07698465048801,35.32,1.25
13,5.032667267793408,153.34147048592294,5.273455932105777,195.08901315077435,35.27,1.24
14,5.018181475800225,151.13620888317243,5.269496173610275,194.31803522415964,35.43,1.28
15,5.010959159243188,150.04858763953666,5.267833357627803,193.9951885811735,35.31,1.29
