epoch,train_loss,train_ppl,val_loss,val_ppl,train_time,val_time
1,7.191813817558984,1328.5106976021555,6.460413575066586,639.3254109499985,34.26,1.31
2,6.454810767017767,635.7534093555448,6.045963396155365,422.4045043976404,34.71,1.3
3,6.112663470152359,451.5397776809639,5.784247201799324,325.1371852730075,34.94,1.32
4,5.865651534835864,352.71188534160626,5.6276959520573095,278.0208058444629,34.95,1.33
5,5.6790466113630265,292.6702683607303,5.522725958201828,250.31646021015806,34.87,1.2
6,5.530881332022708,252.3662314813074,5.446736299204876,231.99975118908065,35.06,1.31
7,5.411572635635109,223.98355537039404,5.3937902989631645,220.0358084882601,35.08,1.31
8,5.315219595997544,203.40917606569485,5.349722585511581,210.54988017679645,35.06,1.24
9,5.23750715978249,188.2003637215454,5.327482418958941,205.91890350180213,35.15,1.32
10,5.1772132044102275,177.18833464158598,5.310593536881591,202.47036636132628,35.08,1.3
11,5.128583546295877,168.7778825949409,5.293323751665778,199.00376649695977,35.31,1.31
12,5.09463104269984,163.14364048156114,5.285640129643666,197.4805561544264,35.01,1.4
13,5.070907870853706,159.3189026936934,5.281229765678376,196.61151283306074,35.42,1.23
14,5.05602642605518,156.96556122869362,5.279275123238317,196.2275829709119,35.21,1.28
15,5.050461793408275,156.09453127073996,5.280178016161347,196.40483547485383,34.9,1.3
