epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.157705629026735,1283.9616664656783,6.380559355653856,590.2577793622444
2,6.340328718637015,566.982658518749,5.91228020901239,369.54784175355337
3,5.975765859925902,393.76955796397675,5.690271571809323,295.97398791865794
4,5.738752266505619,310.6765275348083,5.539213727456087,254.47783184350394
5,5.55470580416364,258.45091815083623,5.4443811732329,231.45400545179692
6,5.41198990323565,224.07703595295703,5.360103759891222,212.7470199120007
7,5.296606898426891,199.65819877915087,5.314230966696444,203.2081791662069
8,5.199810766435408,181.23794232807467,5.276938113578241,195.76953265641504
9,5.121319670777221,167.5563429923695,5.237941884238076,188.2821968083385
10,5.057312072692932,157.16749325353038,5.218965250944099,184.74292256920694
11,5.007001374746774,149.4559013017235,5.20686772868006,182.5214551685598
12,4.9700773760274455,144.03803203046886,5.202001801153672,181.635476298313
13,4.942947472487535,140.18282625569515,5.192112351206026,179.84805422495668
14,4.927352889553531,138.01369088577985,5.186998483914167,178.93068280004312
15,4.919059309449706,136.87379672059407,5.184814823633609,178.54038526873808
