epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.1716720860202114,1302.0198729053716,6.410949812360739,608.4713402842688
2,6.349196174880722,572.0327098977532,5.910936462918429,369.0515967729633
3,5.963452685010302,388.9507329215475,5.6682816662141855,289.5365861953642
4,5.723934628984907,306.1069739660103,5.527785198162573,251.58608019648167
5,5.541408150584309,255.03687704984665,5.424869450292556,226.98171198484874
6,5.39870313450054,221.1194679685035,5.358325254485408,212.3689844557141
7,5.284327295038488,197.22146695430334,5.299492459352842,200.23515669937422
8,5.187762195651943,179.06738645719503,5.257282673402734,191.95916620679057
9,5.110167354256004,165.69808283284272,5.231226076732956,187.0219662873086
10,5.047656697112244,155.65728462542293,5.203277734038859,181.8673788902486
11,4.998124513235482,148.13507304187542,5.19703276833172,180.7351623522216
12,4.960809108379719,142.70921641970457,5.176991315702948,177.14902291264306
13,4.934874968095259,139.05575503918766,5.170675875718849,176.0337742400111
14,4.917900839052,136.71532428940506,5.169074069379654,175.75202793627048
15,4.909858879866777,135.62027430679214,5.167706662114956,175.51186757241908
