epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.102884283075323,1215.467776694553,6.290746201444121,539.5557962195123
2,6.24771245685848,516.8292022938185,5.821749657651187,337.5621554494831
3,5.875537354986627,356.2160237078893,5.604467478600564,271.63723427202484
4,5.631248114468692,279.0101369927547,5.467231338590036,236.8036551735977
5,5.4545434285829835,233.8180920375924,5.377205001490803,216.4165453902752
6,5.31707300077547,203.78652518680147,5.298436044397842,200.02373697846008
7,5.204764722467779,182.13801474458063,5.255848956657577,191.6841483317891
8,5.111463860198334,165.91305070531823,5.221806960489821,185.26865493132462
9,5.033168022925561,153.41827624307422,5.192160630218999,179.8567373211038
10,4.969934962250732,144.01752049093457,5.178016320348179,177.3306945752697
11,4.920732451485587,137.10299771293657,5.158173393254079,173.84661600795138
12,4.883799039400541,132.1316850612543,5.148483511289056,172.17019808181522
13,4.858119904101788,128.78185212621628,5.14452704324297,171.4903579642977
14,4.842127975764927,126.73876199319407,5.142041728297453,171.0646796061402
15,4.8341327261376925,125.72949400473232,5.141883770886455,171.0376608062024
