epoch,train_loss,train_ppl,val_loss,val_ppl,train_time,val_time
1,7.19461831981521,1332.2417382615167,6.466373793434624,643.147308364934,33.48,1.19
2,6.444615988310728,629.3049700912212,6.016817786066304,410.2709462981402,32.87,1.14
3,6.083319553272204,438.48234698554006,5.767564754790898,319.75809436009104,33.73,1.19
4,5.8478152511747,346.4765886676842,5.623390704649163,276.8264303764615,33.36,1.09
5,5.672780067082386,290.8419716984495,5.534475243419682,253.27484511730444,33.16,1.16
6,5.529449341075206,252.00510394975962,5.454399693820137,233.78448666477215,33.45,1.15
7,5.4128293466922335,224.26521492631204,5.3992622658570655,221.24313736708035,33.55,1.19
8,5.319565870918386,204.29517226311177,5.367333102275649,214.2906138218677,33.48,1.23
9,5.243626574694233,189.35557082454383,5.338928590127088,208.28942734779798,33.54,1.16
10,5.18254098018552,178.13487359322895,5.318546710758034,204.087068825968,33.87,1.2
11,5.135598352308215,169.965988996507,5.307443261887414,201.83353265643814,33.96,1.22
12,5.101369462700322,164.24668305986495,5.300780327653842,200.4931993372341,33.11,1.14
13,5.07807570983507,160.4649774677029,5.2964669328076,199.6302554513104,33.8,1.22
14,5.06433034430585,158.27441721284293,5.294325929169261,199.20330356393077,33.32,1.24
15,5.05646659778676,157.03466823993872,5.293646174586359,199.0679402175438,34.07,1.21
