epoch,train_loss,train_ppl,val_loss,val_ppl,train_time,val_time
1,7.20387344884371,1344.6290420719135,6.477893827934524,650.5992283207224,39.27,1.54
2,6.432345126972091,621.6300413601474,6.007415934475472,406.4317159665442,39.57,1.54
3,6.078183502704112,436.23605295598645,5.7722787938904006,321.26900496715126,38.73,1.45
4,5.853055121503063,348.29684585514656,5.641709598785112,281.944318350822,40.36,1.44
5,5.683376286054885,293.9401825886319,5.539997559321918,254.67737787230197,39.33,1.54
6,5.548919113913509,256.9596616237603,5.4870925776596495,241.55388576379232,39.85,1.62
7,5.440004685735883,230.44326325437996,5.424518616815472,226.90209316888834,39.42,1.58
8,5.350671085757473,210.74968153075403,5.389559544695662,219.10685751976135,39.5,1.58
9,5.278862162157726,196.14656534592083,5.363994051274833,213.57627979588392,39.35,1.71
10,5.222051555980774,185.31397635141727,5.3500170584930125,210.61189055749483,39.66,1.69
11,5.175721723884633,176.92425867214183,5.337236701048631,207.93732268551773,39.99,1.52
12,5.142577570221558,171.15636779620098,5.328577717580397,206.14456975634755,39.44,1.56
13,5.119678137205431,167.28151925808672,5.322124143223961,204.8184840460836,39.29,1.59
14,5.106331778088712,165.0637525041785,5.3199446646551225,204.37257265327653,39.28,1.59
15,5.099824283864863,163.99308853630825,5.318939086070742,204.16716326593107,39.63,1.44
