epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.181003148977335,1314.2259616381593,6.416236720588956,611.6967912384613
2,6.366522852357451,582.030500291511,5.951173079866594,384.20377652480806
3,5.996684344498427,402.09337770686227,5.707221158355055,301.03338082628585
4,5.768778263629376,320.1463591675129,5.563278287443991,260.67600797178426
5,5.592478348182274,268.3999847239466,5.481007621802815,240.08850394522938
6,5.453247612411087,233.51530299448632,5.409548359550926,223.53060941451
7,5.341905648653562,208.91044110194002,5.353923358591828,211.43621278318062
8,5.248359531074851,190.25390669697452,5.315765614354015,203.52027153702454
9,5.172695895889541,176.38972540793088,5.280109627594387,196.39140408889344
10,5.11034145460024,165.72693343748045,5.255575067017186,191.63165521832204
11,5.0611321757008865,157.76903751624738,5.236901566569086,188.08642536214623
12,5.025465017313009,152.24103437156947,5.227090605787445,186.2501394133504
13,4.999976670706308,148.40969676878714,5.22514770673942,185.88862550102965
14,4.984524939324592,146.13413595225077,5.218462891651463,184.6501385527132
15,4.9763147961962355,144.9392655205996,5.218016719932294,184.56777125929523
